train_loss,epoch,step,val_loss,val_mae,test_loss,test_mae
4025.796142578125,0,0,,,,
,0,0,3913.49755859375,62.0919303894043,,
4016.833740234375,1,1,,,,
,1,1,3904.27294921875,62.017601013183594,,
4007.63525390625,2,2,,,,
,2,2,3894.66943359375,61.940101623535156,,
3998.03515625,3,3,,,,
,3,3,3884.464111328125,61.857582092285156,,
3987.859375,4,4,,,,
,4,4,3873.510986328125,61.7689094543457,,
3976.943115234375,5,5,,,,
,5,5,3861.63623046875,61.67264938354492,,
3965.11376953125,6,6,,,,
,6,6,3848.62841796875,61.56703567504883,,
3952.168701171875,7,7,,,,
,7,7,3834.307373046875,61.450538635253906,,
3937.890625,8,8,,,,
,8,8,3818.39208984375,61.32080841064453,,
3922.059326171875,9,9,,,,
,9,9,3800.69287109375,61.17621994018555,,
,10,10,,,3866.99755859375,61.78319549560547
